Time_sec,From_Sat,To_Sat
0.0,None,STARLINK-32620
60.0,STARLINK-32620,STARLINK-30587
180.0,STARLINK-30587,STARLINK-2221
240.0,STARLINK-2221,STARLINK-3981
300.0,STARLINK-3981,STARLINK-1284
360.0,STARLINK-1284,STARLINK-1678
420.0,STARLINK-1678,STARLINK-30582
540.0,STARLINK-30582,STARLINK-32710
600.0,STARLINK-32710,STARLINK-5509
660.0,STARLINK-5509,STARLINK-32259
720.0,STARLINK-32259,STARLINK-5315
780.0,STARLINK-5315,STARLINK-11597 [DTC]
840.0,STARLINK-11597 [DTC],STARLINK-30882
900.0,STARLINK-30882,STARLINK-32958
960.0,STARLINK-32958,STARLINK-32675
1020.0,STARLINK-32675,STARLINK-2046
1080.0,STARLINK-2046,STARLINK-1320
1140.0,STARLINK-1320,STARLINK-32733
1200.0,STARLINK-32733,STARLINK-11245 [DTC]
1260.0,STARLINK-11245 [DTC],STARLINK-32361
1320.0,STARLINK-32361,STARLINK-3238
1380.0,STARLINK-3238,STARLINK-31135
1440.0,STARLINK-31135,STARLINK-32555
1560.0,STARLINK-32555,STARLINK-31127
1620.0,STARLINK-31127,STARLINK-33818
1680.0,STARLINK-33818,STARLINK-11537 [DTC]
1740.0,STARLINK-11537 [DTC],STARLINK-3218
1800.0,STARLINK-3218,STARLINK-32732
1920.0,STARLINK-32732,STARLINK-4070
1980.0,STARLINK-4070,STARLINK-31039
2040.0,STARLINK-31039,STARLINK-5783
2100.0,STARLINK-5783,STARLINK-30976
2160.0,STARLINK-30976,STARLINK-5590
2220.0,STARLINK-5590,STARLINK-4202
2280.0,STARLINK-4202,STARLINK-33678
2340.0,STARLINK-33678,STARLINK-5814
2400.0,STARLINK-5814,STARLINK-3649
2460.0,STARLINK-3649,STARLINK-32297
2520.0,STARLINK-32297,STARLINK-4081
2580.0,STARLINK-4081,STARLINK-5771
2640.0,STARLINK-5771,STARLINK-33659
2700.0,STARLINK-33659,STARLINK-5568
2760.0,STARLINK-5568,STARLINK-31234
2820.0,STARLINK-31234,STARLINK-33811
2880.0,STARLINK-33811,STARLINK-5816
2940.0,STARLINK-5816,STARLINK-32915
3000.0,STARLINK-32915,STARLINK-34887
3060.0,STARLINK-34887,STARLINK-3960
3120.0,STARLINK-3960,STARLINK-5215
3180.0,STARLINK-5215,STARLINK-33819
3240.0,STARLINK-33819,STARLINK-5912
3300.0,STARLINK-5912,STARLINK-34179
3360.0,STARLINK-34179,STARLINK-30963
3420.0,STARLINK-30963,STARLINK-3655
3480.0,STARLINK-3655,STARLINK-34104
3540.0,STARLINK-34104,STARLINK-34481
3600.0,STARLINK-34481,STARLINK-30959
3660.0,STARLINK-30959,STARLINK-4055
3720.0,STARLINK-4055,STARLINK-32172
3780.0,STARLINK-32172,STARLINK-32708
3840.0,STARLINK-32708,STARLINK-31840
3900.0,STARLINK-31840,STARLINK-34189
4020.0,STARLINK-34189,STARLINK-30105
4080.0,STARLINK-30105,STARLINK-33964
4140.0,STARLINK-33964,STARLINK-33912
4200.0,STARLINK-33912,STARLINK-5431
4260.0,STARLINK-5431,STARLINK-1047
4320.0,STARLINK-1047,STARLINK-31838
4380.0,STARLINK-31838,STARLINK-33847
4440.0,STARLINK-33847,STARLINK-31566
4500.0,STARLINK-31566,STARLINK-34821
4560.0,STARLINK-34821,STARLINK-34897
4620.0,STARLINK-34897,STARLINK-33607
4680.0,STARLINK-33607,STARLINK-5430
4740.0,STARLINK-5430,STARLINK-31829
4800.0,STARLINK-31829,STARLINK-34787
4860.0,STARLINK-34787,STARLINK-33840
4920.0,STARLINK-33840,STARLINK-3914
4980.0,STARLINK-3914,STARLINK-31591
5040.0,STARLINK-31591,STARLINK-31860
5100.0,STARLINK-31860,STARLINK-33650
5160.0,STARLINK-33650,STARLINK-11543 [DTC]
5220.0,STARLINK-11543 [DTC],STARLINK-3883
5280.0,STARLINK-3883,STARLINK-31625
5340.0,STARLINK-31625,STARLINK-31515
5400.0,STARLINK-31515,STARLINK-31597
5460.0,STARLINK-31597,STARLINK-5260
5520.0,STARLINK-5260,STARLINK-5676
5640.0,STARLINK-5676,STARLINK-31604
5700.0,STARLINK-31604,STARLINK-31767
5760.0,STARLINK-31767,STARLINK-5799
5820.0,STARLINK-5799,STARLINK-31586
5880.0,STARLINK-31586,STARLINK-31247
5940.0,STARLINK-31247,STARLINK-31885
6060.0,STARLINK-31885,STARLINK-31774
6120.0,STARLINK-31774,STARLINK-31768
6180.0,STARLINK-31768,STARLINK-34484
6240.0,STARLINK-34484,STARLINK-5580
6300.0,STARLINK-5580,STARLINK-5944
6360.0,STARLINK-5944,STARLINK-31307
6480.0,STARLINK-31307,STARLINK-31286
6600.0,STARLINK-31286,STARLINK-34589
6660.0,STARLINK-34589,STARLINK-34323
6780.0,STARLINK-34323,STARLINK-34797
6840.0,STARLINK-34797,STARLINK-3311
6900.0,STARLINK-3311,STARLINK-30589
6960.0,STARLINK-30589,STARLINK-30116
7020.0,STARLINK-30116,STARLINK-33925
7080.0,STARLINK-33925,STARLINK-30396
7140.0,STARLINK-30396,STARLINK-2092
