time,satellite,elevation_deg,azimuth_deg,distance_km,lat_subpoint,lon_subpoint,height_km,x_ecef_km,y_ecef_km,z_ecef_km
2025-11-26 14:16:50,STARLINK-1199,5.58,113.1,2145.97,16.77,138.2,546.59,3068.82,-5881.84,1978.28
2025-11-26 14:16:50,STARLINK-1300,27.7,144.73,1044.25,18.44,125.63,547.62,1700.2,-6350.04,2173.26
2025-11-26 14:16:50,STARLINK-1284,14.22,254.96,1560.0,20.96,107.93,550.24,-304.98,-6465.12,2464.55
2025-11-26 14:16:50,STARLINK-1351,10.71,68.74,1763.91,29.26,136.46,548.24,2638.12,-5445.33,3360.5
2025-11-26 14:16:50,STARLINK-1433,6.56,354.48,2068.86,42.02,118.77,549.45,736.55,-5102.16,4613.56
2025-11-26 14:16:50,STARLINK-1719,0.39,306.8,2435.93,35.88,100.4,465.18,-981.44,-5461.02,3993.12
2025-11-26 14:16:50,STARLINK-1678,1.39,240.94,2217.22,14.6,103.86,425.48,-778.56,-6538.53,1706.54
2025-11-26 14:16:50,STARLINK-1664,1.63,242.25,2520.19,13.65,101.62,546.5,-1055.83,-6646.21,1627.06
2025-11-26 14:16:50,STARLINK-2106,15.04,3.55,1514.54,37.01,121.91,549.72,1088.09,-5432.42,4146.49
2025-11-26 14:16:50,STARLINK-2135,19.56,21.69,1306.34,34.28,125.53,547.93,1476.91,-5537.41,3877.2
2025-11-26 14:16:50,STARLINK-1991,13.05,305.72,1621.41,31.99,108.37,548.74,-227.98,-5875.42,3650.54
2025-11-26 14:16:50,STARLINK-1995,5.19,69.67,2184.06,29.84,140.8,548.07,3025.22,-5200.8,3420.4
2025-11-26 14:16:50,STARLINK-2412,5.06,180.1,2188.64,6.35,120.94,547.02,1227.07,-6773.03,757.99
2025-11-26 14:16:50,STARLINK-2428,16.68,141.5,1430.89,15.65,128.32,548.19,2025.35,-6357.55,1852.6
2025-11-26 14:16:50,STARLINK-2503,0.73,230.99,2615.37,9.86,103.64,547.14,-833.61,-6772.08,1181.04
2025-11-26 14:16:50,STARLINK-2567,5.62,38.81,2150.28,38.18,135.21,549.91,2274.03,-4960.47,4255.32
2025-11-26 14:16:50,STARLINK-2569,13.26,305.48,1607.29,31.87,108.47,547.94,-218.21,-5882.21,3638.74
2025-11-26 14:16:50,STARLINK-2692,11.49,218.47,1709.94,13.53,112.07,547.09,166.18,-6732.07,1610.68
2025-11-26 14:16:50,STARLINK-2221,10.67,267.9,1767.94,23.43,105.12,548.51,-609.36,-6328.71,2740.09
2025-11-26 14:16:50,STARLINK-3005,19.73,350.95,1335.48,35.13,118.98,566.12,829.95,-5625.84,3973.16
2025-11-26 14:16:50,STARLINK-3236,5.35,239.28,2150.41,14.74,105.01,540.56,-657.92,-6659.33,1752.08
2025-11-26 14:16:50,STARLINK-3346,0.23,193.91,2652.29,2.72,115.68,542.14,602.29,-6886.3,325.17
2025-11-26 14:16:50,STARLINK-3315,0.84,80.75,2592.02,26.34,145.32,541.49,3533.91,-5105.6,3044.28
