time,satellite,observer_location,elevation_deg,azimuth_deg,distance_km,lat_subpoint,lon_subpoint,height_km,x_ecef_km,y_ecef_km,z_ecef_km
2026-01-27 15:42:30,STARLINK-11115 [DTC],恆春半島,11.18,200.18,1265.09,11.95,117.03,361.18,6596.62,-123.81,1369.46
2026-01-27 15:42:30,STARLINK-11147 [DTC],恆春半島,6.79,208.6,1508.32,10.53,114.53,347.86,6603.55,-412.67,1205.15
2026-01-27 15:42:30,STARLINK-11315 [DTC],北海岸,0.64,3.23,2107.02,43.44,122.89,362.45,4896.23,408.74,4599.98
2026-01-27 15:42:30,STARLINK-11346 [DTC],北海岸,2.28,13.34,1943.92,41.46,126.58,364.22,5015.74,745.98,4429.39
2026-01-27 15:42:30,STARLINK-1202,北海岸,1.25,352.08,2569.68,46.76,117.23,551.8,4767.45,-72.2,5013.35
2026-01-27 15:42:30,STARLINK-1215,澎湖,19.62,285.23,1304.5,25.87,108.62,547.91,6157.79,-1027.46,2990.01
2026-01-27 15:42:30,STARLINK-1267,澎湖,10.13,251.95,1795.34,18.28,104.77,545.27,6404.23,-1516.02,2142.92
2026-01-27 15:42:30,STARLINK-1363,澎湖,31.01,300.81,2389418.59,37.49,51.7,2386332.09,763569.11,-1739849.27,1454273.39
2026-01-27 15:42:30,STARLINK-1433,東北角,17.78,47.12,1374.16,32.14,131.41,544.67,5718.86,1349.96,3648.86
2026-01-27 15:42:30,STARLINK-1531,恆春半島,30.22,209.27,865.1,16.48,117.56,476.51,6579.29,-62.01,1916.23
2026-01-27 15:42:30,STARLINK-1568,東北角,1.24,74.66,2227.74,28.56,143.06,422.95,5427.9,2521.98,3219.66
2026-01-27 15:42:30,STARLINK-1585,恆春半島,26.07,139.43,16578.31,-15.48,150.55,13839.92,16430.19,10454.7,-5427.41
2026-01-27 15:42:30,STARLINK-1625,恆春半島,0.23,197.91,28885.09,-51.18,92.19,23254.13,16655.17,-8122.08,-23107.15
2026-01-27 15:42:30,STARLINK-1627,綠島蘭嶼,38.56,118.21,6192.11,9.26,143.91,4947.75,10068.78,4866.29,1789.42
2026-01-27 15:42:30,STARLINK-1641,恆春半島,5.56,169.97,21312.71,-45.29,134.03,16475.9,15426.73,4412.95,-16259.03
2026-01-27 15:42:30,STARLINK-1645,恆春半島,53.37,185.77,60370.88,-11.17,117.53,59228.23,64328.21,-649.82,-12866.58
2026-01-27 15:42:30,STARLINK-1655,綠島蘭嶼,29.32,117.52,3409270.76,-10.51,173.26,3406025.38,1915431.95,2753574.52,-627248.55
2026-01-27 15:42:30,STARLINK-1664,澎湖,24.36,285.48,1129.22,25.59,110.45,542.57,6197.26,-832.17,2956.8
2026-01-27 15:42:30,STARLINK-1677,東北角,33.12,53.2,14795.94,42.41,166.86,12667.4,9307.99,10577.77,12799.8
2026-01-27 15:42:30,STARLINK-2001,北海岸,3.38,350.66,2356.02,44.77,117.06,551.59,4938.34,-89.72,4845.56
